Longitud,Ancho,Altura,RelacionDiametroCarrera,VolumenCilindrada,RelacionComprecionAire,Potencia,RevolucionesMaxMotor,ConsumoCiudad,Precio,ClasificacionRiesgo_intermedio,ClasificacionRiesgo_muy seguro,ClasificacionRiesgo_poco seguro,TipoCombustible_diesel,TipoCombustible_gas,TipoAspiracionMotor_std,TipoAspiracionMotor_turbo,NumPuertas_four,NumPuertas_two,TipoCarroceria_hatchback,TipoCarroceria_otro,TipoCarroceria_sedan,TipoCarroceria_wagon,EjeTraccion_4wd,EjeTraccion_fwd,EjeTraccion_rwd,UbicacionMotor_front,UbicacionMotor_rear,TipoMotor_No ohc,TipoMotor_ohc,NumCilindrosMotor_cuatro,NumCilindrosMotor_mayor a cuatro,NumCilindrosMotor_menor a cuatro,SistemaCombustible_2bbl,SistemaCombustible_mpfi,SistemaCombustible_otro
168.8,64.1,48.8,3.47,2.68,9.0,111,5000,21,13495.0,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,True,True,False,True,False,True,False,False,False,True,False
168.8,64.1,48.8,3.47,2.68,9.0,111,5000,21,16500.0,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,True,True,False,True,False,True,False,False,False,True,False
171.2,65.5,52.4,2.68,3.47,9.0,154,5000,19,16500.0,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False
176.6,66.2,54.3,3.19,3.4,10.0,102,5500,24,13950.0,False,False,True,False,True,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,True,False
176.6,66.4,54.3,3.19,3.4,8.0,115,5500,18,17450.0,False,False,True,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False
177.3,66.3,53.1,3.19,3.4,8.5,110,5500,19,15250.0,False,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False
192.7,71.4,55.7,3.19,3.4,8.5,110,5500,19,17710.0,False,False,True,False,True,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False
192.7,71.4,55.7,3.19,3.4,8.5,110,5500,19,18920.0,False,False,True,False,True,True,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False
192.7,71.4,55.9,3.13,3.4,8.3,140,5500,17,23875.0,False,False,True,False,True,False,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False
178.2,67.9,52.0,3.13,3.4,7.0,160,5500,16,17859.167,True,False,False,False,True,False,True,False,True,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
176.8,64.8,54.3,3.5,2.8,8.8,101,5800,23,16430.0,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,True,False
